Product name,Description,Colours,Price,Sale Price,Discount,Product Link
Nike Yoga,Women's 7/8 Tights,1 Colour,"₹3,495","₹2,797",20%,https://www.nike.com/in/t/yoga-7-8-tights-9fzxFm/CJ3832-010
Nike React Vision,Men's Shoe,4 Colours,"₹10,995","₹7,697",30%,https://www.nike.com/in/t/react-vision-shoe-lhpBwx/CD4373-102
Nike Mercurial Superfly 7 Club TF,Artificial-Turf Football Shoe,1 Colour,"₹5,995","₹4,797",20%,https://www.nike.com/in/t/mercurial-superfly-7-club-tf-artificial-football-shoe-GVrb1G/AT7980-606
Nike Sportswear,Women's T-Shirt,2 Colours,"₹1,695","₹1,357",20%,https://www.nike.com/in/t/sportswear-t-shirt-SFwRB5/CT8913-336
Nike Phantom Vision 2 Academy Dynamic Fit MG,Multi-Ground Football Boot,2 Colours,"₹8,495","₹5,947",30%,https://www.nike.com/in/t/phantom-vision-2-academy-dynamic-fit-mg-multi-ground-football-boot-hDZzP0/CD4156-606
Nike Explore Strada,Women's Shoe,1 Colour,"₹4,995","₹2,997",40%,https://www.nike.com/in/t/explore-strada-shoe-5k3pzd/CD7091-003
The Nike Polo,Unisex Polo,2 Colours,"₹2,995","₹2,097",30%,https://www.nike.com/in/t/polo-polo-HMmgZH/CI9772-451
Nike Air Force 1 '07 Premium,Men's Shoe,1 Colour,"₹10,995","₹8,797",20%,https://www.nike.com/in/t/air-force-1-07-shoe-Zl8qsV/CK4392-100
Nike Sportswear,Men's Swoosh T-Shirt,1 Colour,"₹1,495","₹1,197",20%,https://www.nike.com/in/t/sportswear-swoosh-t-shirt-3s8Rw3/CT6872-657
Jordan 'Why Not?' Zer0.3 PF,Men's Basketball Shoe,4 Colours,"₹10,995","₹7,697",30%,https://www.nike.com/in/t/jordan-why-not-zer03-pf-basketball-shoe-nNTc80/CD3002-003
Nike Sportswear,Women's Printed Dress,2 Colours,"₹2,795","₹1,957",30%,https://www.nike.com/in/t/sportswear-printed-dress-gx38lT/CJ3626-435
Nike Air Swoosh,Women's Medium-Support 1-Piece Pad Sports Bra,2 Colours,"₹2,095","₹1,677",20%,https://www.nike.com/in/t/air-swoosh-support-1-piece-pad-sports-bra-v9ghkT/CJ0701-010
Nike 50,Men's Shorts,1 Colour,"₹4,995","₹3,997",20%,https://www.nike.com/in/t/50-shorts-n9t2vl/CJ5489-902
Nike Swoosh UltraBreathe City Ready,Women's Medium-Support Sports Bra,2 Colours,"₹4,295","₹3,437",20%,https://www.nike.com/in/t/swoosh-ultrabreathe-city-ready-support-sports-bra-FRFkt9/CN1449-010
Nike,Men's Short-Sleeve Training Top,1 Colour,"₹2,495","₹1,997",20%,https://www.nike.com/in/t/short-sleeve-training-top-7BHkhF/CJ4743-100
Nike Dri-FIT Academy Pro,Men's Football Shorts,1 Colour,"₹1,495","₹1,197",20%,https://www.nike.com/in/t/dri-fit-academy-pro-football-shorts-Mmf7s7/BV6925-010
