Stay Name,Stay Type,Stay Size,Amenities,Price,Rating,num of reviews,link
Luxury 1bhk  close to wipro Infosys narayana,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Lift - Air conditioning,"Rs.1,220",4.81,26,https://www.airbnb.co.in/rooms/36817727?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
Independent well-furnished 1 Bed Apts in CBD,Entire serviced apartment in Bengaluru,2 guests - 1 bedroom - 3 beds - 1 bathroom,Wifi - Washing machine - Self check-in - Breakfast,"Rs.1,643",4.67,43,https://www.airbnb.co.in/rooms/10622836?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
1BHK in Koramangala for Work / Holiday,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Air conditioning - Pets allowed,"Rs.1,400",4.46,13,https://www.airbnb.co.in/rooms/32294773?previous_page_section_name=1000&federated_search_id=a6921ba4-5ae3-490a-adbb-55963f3924ad
The House of Joy 2,Private room in Bengaluru,4 guests - 1 bedroom - 2 beds - 2 bathrooms,Wifi - Washing machine - Dryer - Air conditioning,Rs.800,4.88,40,https://www.airbnb.co.in/rooms/21513178?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
Paradise-Manyata Tech Park:BR3-Place to unwind,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 0 shared bathrooms,Wifi - Washing machine - Air conditioning - Kitchen,Rs.900,4.83,24,https://www.airbnb.co.in/rooms/35523481?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
Entire premium flat 1 BHK with kitchen - P3,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Washing machine - Self check-in - Dryer,"Rs.1,799",4.85,27,https://www.airbnb.co.in/rooms/34992117?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
Exclusive cosy penthouse with a private terrace,Entire flat in Bengaluru,3 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Wifi - Washing machine - Self check-in - Air conditioning,"Rs.2,129",4.92,25,https://www.airbnb.co.in/rooms/38928254?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
SliceInn Ivy : Private Cozy Room @HSR,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Wifi - Washing machine - Dryer - Pets allowed,Rs.750,4.64,11,https://www.airbnb.co.in/rooms/32877474?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
⚡LITTLE BRAZIL | SPARKLING CLEAN | BEST LOCATION,Entire flat in Bengaluru,2 guests - 1 bedroom - 2 beds - 1 bathroom,Wifi - Washing machine - Lift - Self check-in,"Rs.1,013",4.23,53,https://www.airbnb.co.in/rooms/31916281?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
Clover - Kitkat,Entire loft in Bengaluru,2 guests - Studio - 1 bed - 1 bathroom,Wifi - Self check-in - Air conditioning,Rs.800,4.47,66,https://www.airbnb.co.in/rooms/16222938?previous_page_section_name=1000&federated_search_id=0345bd33-738e-4016-8667-6eb1b544a396
